Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,CompressiveStrength
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
150.0,237.0,0.0,174.0,12.0,1069.0,675.0,28,37.43
236.0,157.0,0.0,192.0,0.0,972.6,749.1,90,47.78
531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9
116.0,173.0,0.0,192.0,0.0,909.8,891.9,3,6.28
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54
167.0,75.4,167.0,164.0,7.9,1007.3,770.1,14,32.9
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07
230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,31.54
305.3,203.5,0.0,203.5,0.0,965.4,631.0,7,25.89
313.3,145.0,0.0,178.5,8.0,867.2,824.0,28,40.93
331.0,0.0,0.0,192.0,0.0,1025.0,821.0,3,14.31
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97
401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39
238.0,0.0,0.0,185.0,0.0,1118.0,789.0,28,17.54
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
147.8,175.1,0.0,171.2,2.2,1000.0,828.5,28,26.92
159.0,149.0,116.0,175.0,15.0,953.0,720.0,28,27.68
222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71
190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45
231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73
374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9
425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2
333.0,0.0,0.0,192.0,0.0,931.2,842.6,3,15.62
102.0,153.0,0.0,192.0,0.0,887.0,942.0,3,4.57
148.5,139.4,108.6,192.7,6.1,892.4,780.0,28,23.7
289.0,0.0,0.0,192.0,0.0,913.2,895.3,28,25.57
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33
305.3,203.5,0.0,203.5,0.0,965.4,631.0,28,43.38
339.0,0.0,0.0,185.0,0.0,1060.0,754.0,28,31.65
165.0,128.5,132.1,175.1,8.1,1005.8,746.6,100,55.02
203.5,135.7,0.0,185.7,0.0,1076.2,759.3,7,11.96
302.0,0.0,0.0,203.0,0.0,974.0,817.0,28,21.75
374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,28,34.29
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6
389.9,189.0,0.0,145.9,22.0,944.7,755.8,3,40.6
277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28
250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,38.33
350.0,0.0,0.0,203.0,0.0,974.0,775.0,180,32.72
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,7,21.16
181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82
212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56,45.08
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2
339.0,0.0,0.0,185.0,0.0,1069.0,754.0,28,31.84
339.0,0.0,0.0,197.0,0.0,968.0,781.0,90,35.17
500.0,0.0,0.0,151.0,9.0,1033.0,655.0,28,69.84
146.0,230.0,0.0,202.0,3.0,827.0,872.0,28,33.06
272.8,181.9,0.0,185.7,0.0,1012.4,714.3,28,31.38
362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3
152.0,178.0,139.0,168.0,18.0,944.0,695.0,28,36.35
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38
162.0,214.0,164.0,202.0,10.0,820.0,680.0,28,30.65
212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
288.0,192.0,0.0,192.0,0.0,932.0,717.8,28,38.8
382.5,0.0,0.0,185.7,0.0,1047.8,739.3,7,24.07
133.0,200.0,0.0,192.0,0.0,927.4,839.2,90,36.59
213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3,13.18
446.0,24.0,79.0,162.0,11.6,967.0,712.0,7,38.02
491.0,26.0,123.0,210.0,3.9,882.0,699.0,7,33.49
295.8,0.0,0.0,185.7,0.0,1091.4,769.3,28,25.22
387.0,20.0,94.0,157.0,14.3,938.0,845.0,28,50.24
305.3,203.5,0.0,203.5,0.0,965.4,631.0,3,14.14
424.0,22.0,132.0,178.0,8.5,822.0,750.0,28,62.05
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
480.0,0.0,0.0,192.0,0.0,936.2,712.2,28,43.94
108.3,162.4,0.0,203.5,0.0,938.2,849.0,28,20.59
254.0,0.0,0.0,198.0,0.0,968.0,863.0,3,9.31
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14
261.9,110.5,86.1,195.4,5.0,895.2,732.6,28,33.72
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,14,33.73
362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3
266.0,112.0,87.0,178.0,10.0,910.0,745.0,28,39.42
307.0,0.0,0.0,193.0,0.0,968.0,812.0,28,27.53
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,28,40.15
339.0,0.0,0.0,197.0,0.0,968.0,781.0,365,38.89
500.0,0.0,0.0,200.0,0.0,1125.0,613.0,7,33.21
296.0,0.0,106.7,221.4,10.5,819.2,778.4,28,31.42
233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38
212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28,37.4
290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66
236.0,157.0,0.0,192.0,0.0,972.6,749.1,7,20.42
302.0,0.0,0.0,203.0,0.0,974.0,817.0,14,18.13
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3
446.0,24.0,79.0,162.0,11.6,967.0,712.0,28,57.03
251.4,0.0,118.3,192.9,5.8,1043.6,754.3,3,11.98
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78
249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68
425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29
238.0,0.0,0.0,186.0,0.0,1119.0,789.0,28,17.54
153.1,145.0,113.0,178.5,8.0,1001.9,688.7,28,25.56
350.0,0.0,0.0,203.0,0.0,974.0,775.0,56,29.98
350.0,0.0,0.0,186.0,0.0,1050.0,770.0,7,20.28
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
162.0,207.0,172.0,216.0,10.0,822.0,638.0,28,39.84
190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,35.34
154.8,0.0,142.8,193.3,9.1,1047.4,696.7,28,12.46
297.2,0.0,117.5,174.8,9.5,1022.8,753.5,56,51.96
145.4,0.0,178.9,201.7,7.8,824.0,868.7,28,10.54
192.0,288.0,0.0,192.0,0.0,929.8,716.1,7,21.48
250.0,180.0,95.0,159.0,9.5,860.0,800.0,28,67.87
213.7,0.0,174.7,154.8,10.2,1053.5,776.4,3,17.57
141.3,212.0,0.0,203.5,0.0,971.8,748.5,90,39.66
246.8,0.0,125.1,143.3,12.0,1086.8,800.9,28,52.5
250.2,166.8,0.0,203.5,0.0,977.6,694.1,7,19.35
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,247.6
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87
323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8
387.0,20.0,94.0,157.0,13.9,938.0,845.0,7,45.9
164.0,163.0,128.0,197.0,8.0,961.0,641.0,28,27.23
200.0,133.0,0.0,192.0,0.0,965.4,806.2,7,17.17
